age,bmi,bmi_category,gender,activity_level,diet_type,goal,health_condition,calorie_target,protein_requirement,carbs_limit,fat_limit,recommended_food
45,17.7,underweight,female,low,vegan,maintain,hypertension,2057,78,230,58,Almond Granola - Deluxe
41,30.3,obese,male,high,normal,weight_loss,obesity,1836,99,201,65,Grilled Chicken Bowl
18,35.5,obese,female,low,veg,weight_loss,obesity,1555,73,255,59,Tofu Stir Fry
26,27.8,overweight,female,medium,normal,maintain,obesity,2059,73,290,45,Grilled Chicken Bowl
30,21.7,normal,female,high,normal,muscle_gain,obesity,2628,91,190,48,Grilled Chicken Bowl
34,34.2,obese,male,medium,high_protein,muscle_gain,diabetes,2466,80,130,60,Grilled Chicken Bowl
57,31.8,obese,female,low,veg,muscle_gain,hypertension,2882,91,206,63,Tofu Stir Fry #9
21,25.5,overweight,male,high,veg,muscle_gain,hypertension,2588,139,215,62,Tofu Stir Fry #6
34,24.4,normal,female,low,normal,muscle_gain,normal,2899,126,197,66,Grilled Chicken Bowl
50,21.1,normal,male,low,normal,muscle_gain,obesity,2816,110,275,56,Grilled Chicken Bowl
47,17.7,underweight,male,medium,veg,weight_loss,normal,1621,65,246,73,Tofu Stir Fry
51,21.2,normal,male,low,normal,maintain,obesity,2373,73,255,46,Grilled Chicken Bowl
34,31.6,obese,male,low,veg,maintain,normal,2139,93,208,76,Greek Yogurt Bowl
36,28.6,overweight,female,high,veg,weight_loss,obesity,1780,72,269,56,Tofu Stir Fry #4
52,22.7,normal,female,medium,vegan,weight_loss,normal,1858,56,221,64,Tofu Stir Fry
36,19.2,normal,male,medium,high_protein,muscle_gain,hypertension,2583,126,240,84,Grilled Chicken Bowl
26,20.2,normal,female,medium,normal,maintain,normal,1917,74,315,77,Grilled Chicken Bowl
30,21.0,normal,male,low,veg,maintain,hypertension,2379,64,320,78,Peanut Butter Toast
59,17.4,underweight,female,medium,veg,maintain,hypertension,2166,81,229,53,Greek Yogurt Bowl
20,27.7,overweight,female,medium,vegan,maintain,obesity,2047,73,303,58,Tofu Stir Fry
22,21.9,normal,female,medium,veg,maintain,hypertension,1927,94,290,62,Greek Yogurt Bowl
24,18.3,underweight,male,low,vegan,muscle_gain,obesity,2889,73,215,53,Tofu Stir Fry #6
23,25.9,overweight,female,low,normal,weight_loss,diabetes,1507,85,135,50,Grilled Chicken Bowl
54,30.7,obese,female,low,high_protein,weight_loss,hypertension,1619,73,219,69,Grilled Chicken Bowl
54,25.3,overweight,male,medium,normal,weight_loss,diabetes,1590,60,160,54,Grilled Chicken Bowl
35,17.9,underweight,male,low,high_protein,weight_loss,normal,1619,100,264,70,Grilled Chicken Bowl
49,25.1,overweight,male,high,high_protein,weight_loss,diabetes,1797,61,177,52,Tofu Stir Fry
35,27.3,overweight,male,medium,vegan,maintain,normal,2157,89,231,66,Tofu Stir Fry
60,26.3,overweight,female,high,normal,weight_loss,normal,1601,91,275,66,Grilled Chicken Bowl
18,20.8,normal,female,low,normal,muscle_gain,obesity,2405,82,294,40,Grilled Chicken Bowl
53,24.5,normal,female,high,normal,maintain,obesity,2208,77,243,56,Grilled Chicken Bowl
46,35.6,obese,male,low,high_protein,weight_loss,hypertension,1700,82,194,67,Grilled Chicken Bowl
34,21.7,normal,male,high,high_protein,weight_loss,normal,1860,77,202,73,Grilled Chicken Bowl
41,18.6,normal,male,high,veg,muscle_gain,obesity,2580,119,285,57,Tofu Stir Fry #6
41,21.9,normal,male,low,high_protein,muscle_gain,normal,2614,70,195,85,Grilled Chicken Bowl
33,28.1,overweight,male,medium,vegan,muscle_gain,normal,2831,91,206,77,Tofu Stir Fry #2
34,30.3,obese,female,high,vegan,muscle_gain,obesity,2370,127,191,52,Tofu Stir Fry #6
28,29.0,overweight,female,high,normal,muscle_gain,obesity,2468,76,271,56,Grilled Chicken Bowl
23,27.6,overweight,female,low,high_protein,muscle_gain,obesity,2819,138,272,65,Grilled Chicken Bowl
28,21.8,normal,male,high,vegan,muscle_gain,hypertension,2648,80,268,60,Tofu Stir Fry #6
48,28.0,overweight,female,high,normal,maintain,normal,2337,59,273,54,Grilled Chicken Bowl
24,26.1,overweight,male,low,high_protein,maintain,diabetes,2355,97,155,64,Grilled Chicken Bowl
18,18.3,underweight,female,high,high_protein,weight_loss,hypertension,1794,97,183,74,Grilled Chicken Bowl
31,25.3,overweight,male,high,normal,muscle_gain,diabetes,2764,127,139,70,Grilled Chicken Bowl
19,35.1,obese,male,medium,high_protein,weight_loss,diabetes,1601,94,139,61,Grilled Chicken Bowl
38,35.4,obese,male,low,veg,weight_loss,obesity,1633,87,198,60,Tofu Stir Fry
29,35.1,obese,female,high,normal,muscle_gain,obesity,2645,128,187,42,Grilled Chicken Bowl
45,25.6,overweight,male,medium,high_protein,weight_loss,diabetes,1899,76,143,68,Tofu Stir Fry
22,32.5,obese,male,low,veg,muscle_gain,normal,2828,136,287,75,Tofu Stir Fry #2
27,27.7,overweight,female,high,vegan,maintain,normal,2313,64,245,65,Tofu Stir Fry
23,26.5,overweight,female,medium,normal,maintain,diabetes,2013,69,147,63,Grilled Chicken Bowl
49,33.5,obese,male,high,normal,maintain,normal,1965,82,269,62,Grilled Chicken Bowl
51,30.0,obese,male,low,veg,maintain,diabetes,2322,87,165,69,Greek Yogurt Bowl
21,25.1,overweight,male,high,vegan,weight_loss,normal,1517,88,219,78,Tofu Stir Fry
50,29.7,overweight,male,low,vegan,maintain,hypertension,2099,61,180,78,Almond Granola - Deluxe
28,23.1,normal,male,high,high_protein,muscle_gain,normal,2719,103,280,50,Grilled Chicken Bowl
31,28.7,overweight,male,low,vegan,muscle_gain,hypertension,2764,100,305,60,Tofu Stir Fry #6
44,26.4,overweight,female,medium,normal,muscle_gain,diabetes,2545,138,165,81,Grilled Chicken Bowl
50,33.1,obese,male,medium,vegan,maintain,obesity,1927,83,277,46,Tofu Stir Fry
52,17.7,underweight,male,low,normal,weight_loss,obesity,1888,60,272,42,Grilled Chicken Bowl
33,30.6,obese,male,low,normal,weight_loss,normal,1696,55,183,63,Grilled Chicken Bowl
44,32.4,obese,male,low,veg,maintain,diabetes,1921,68,153,68,Greek Yogurt Bowl
41,20.4,normal,male,high,high_protein,muscle_gain,normal,2376,79,299,65,Grilled Chicken Bowl
28,35.0,obese,female,medium,high_protein,weight_loss,normal,1776,65,254,77,Grilled Chicken Bowl
54,25.5,overweight,female,high,normal,muscle_gain,hypertension,2698,102,312,67,Grilled Fish Plate
21,33.4,obese,male,low,vegan,weight_loss,normal,1763,64,301,72,Tofu Stir Fry
42,34.6,obese,male,medium,veg,weight_loss,hypertension,1657,73,275,79,Tofu Stir Fry #6
25,34.7,obese,male,medium,high_protein,weight_loss,obesity,1658,67,252,42,Grilled Chicken Bowl
20,18.3,underweight,male,high,veg,maintain,diabetes,2080,61,156,73,Greek Yogurt Bowl
33,32.1,obese,female,medium,veg,muscle_gain,normal,2873,119,249,67,Tofu Stir Fry #2
58,29.3,overweight,female,high,veg,muscle_gain,hypertension,2356,94,210,67,Tofu Stir Fry #6
23,27.9,overweight,male,low,high_protein,maintain,obesity,2145,94,215,43,Grilled Chicken Bowl
20,27.2,overweight,male,medium,vegan,weight_loss,normal,1562,95,290,51,Tofu Stir Fry
25,27.2,overweight,male,medium,high_protein,muscle_gain,hypertension,2660,86,266,72,Grilled Chicken Bowl
55,24.8,normal,female,high,normal,muscle_gain,obesity,2746,139,288,55,Grilled Chicken Bowl
37,33.3,obese,male,medium,vegan,muscle_gain,hypertension,2421,80,261,82,Tofu Stir Fry #6
31,36.0,obese,male,low,vegan,maintain,hypertension,2314,60,229,72,Almond Granola - Deluxe
27,28.3,overweight,female,high,normal,muscle_gain,diabetes,2893,116,169,67,Grilled Chicken Bowl
42,28.7,overweight,female,medium,high_protein,weight_loss,normal,1816,70,196,79,Grilled Chicken Bowl
29,33.5,obese,male,medium,veg,maintain,diabetes,2326,68,175,68,Greek Yogurt Bowl
46,21.6,normal,female,medium,high_protein,maintain,hypertension,2277,98,230,85,Grilled Chicken Bowl
43,22.0,normal,female,high,vegan,maintain,diabetes,2073,64,171,75,Tofu Stir Fry
58,33.0,obese,male,low,vegan,muscle_gain,normal,2824,116,226,65,Tofu Stir Fry #2
47,29.7,overweight,female,low,normal,weight_loss,hypertension,1792,70,305,76,Grilled Chicken Bowl
52,31.7,obese,male,medium,normal,weight_loss,obesity,1718,94,260,44,Grilled Chicken Bowl
53,32.9,obese,male,low,veg,muscle_gain,hypertension,2590,122,289,71,Tofu Stir Fry #6
44,32.0,obese,female,low,veg,muscle_gain,diabetes,2457,74,157,50,Tofu Stir Fry #6
34,23.0,normal,female,high,veg,maintain,hypertension,2300,88,260,62,Greek Yogurt Bowl
21,17.4,underweight,male,medium,veg,muscle_gain,obesity,2678,96,258,43,Tofu Stir Fry #6
50,19.2,normal,female,high,vegan,maintain,hypertension,2071,77,195,66,Almond Granola - Deluxe
44,20.2,normal,female,medium,high_protein,muscle_gain,hypertension,2687,94,260,69,Grilled Chicken Bowl
49,19.6,normal,female,medium,veg,maintain,diabetes,2366,97,128,68,Greek Yogurt Bowl
34,34.4,obese,female,low,normal,maintain,diabetes,2334,71,155,85,Grilled Chicken Bowl
46,27.1,overweight,female,high,normal,muscle_gain,hypertension,2425,115,185,74,Grilled Chicken Bowl
52,22.2,normal,male,low,normal,weight_loss,diabetes,1687,81,151,59,Grilled Chicken Bowl
39,21.3,normal,male,low,normal,weight_loss,diabetes,1657,92,120,68,Grilled Chicken Bowl
32,24.2,normal,male,medium,normal,weight_loss,normal,1786,71,276,68,Grilled Chicken Bowl
56,24.7,normal,male,high,normal,maintain,obesity,1994,93,292,40,Grilled Chicken Bowl
21,26.9,overweight,male,low,high_protein,maintain,hypertension,1960,75,316,60,Grilled Chicken Bowl
19,20.4,normal,female,medium,high_protein,muscle_gain,obesity,2875,94,242,40,Grilled Chicken Bowl
23,23.5,normal,male,high,veg,weight_loss,diabetes,1717,56,146,80,Tofu Stir Fry
58,26.1,overweight,female,medium,vegan,muscle_gain,diabetes,2892,70,130,64,Tofu Stir Fry #2
45,17.4,underweight,female,high,vegan,weight_loss,normal,1878,96,222,52,Tofu Stir Fry
58,35.4,obese,female,low,high_protein,muscle_gain,diabetes,2533,83,163,60,Grilled Chicken Bowl
41,27.8,overweight,male,low,high_protein,muscle_gain,normal,2605,136,226,85,Chicken Burger
34,27.4,overweight,female,medium,high_protein,weight_loss,obesity,1825,81,281,59,Grilled Chicken Bowl
36,24.3,normal,female,medium,veg,maintain,hypertension,2132,83,194,78,Greek Yogurt Bowl
31,23.1,normal,male,medium,veg,weight_loss,normal,1660,93,232,84,Tofu Stir Fry
48,20.1,normal,male,low,veg,muscle_gain,normal,2703,91,242,66,Tofu Stir Fry #2
48,33.6,obese,male,low,high_protein,weight_loss,hypertension,1872,76,285,83,Grilled Chicken Bowl
52,21.4,normal,male,low,high_protein,muscle_gain,normal,2661,74,293,62,Grilled Chicken Bowl
20,34.6,obese,male,high,veg,maintain,hypertension,2246,56,300,69,Greek Yogurt Bowl
35,29.0,overweight,male,high,veg,weight_loss,normal,1857,94,235,57,Tofu Stir Fry
21,23.8,normal,female,high,high_protein,muscle_gain,diabetes,2720,101,148,63,Grilled Chicken Bowl
28,18.6,normal,male,low,normal,maintain,obesity,2140,98,225,45,Grilled Chicken Bowl
27,29.2,overweight,female,low,normal,maintain,normal,2294,71,275,50,Grilled Chicken Bowl
39,21.8,normal,female,high,normal,weight_loss,obesity,1623,93,307,58,Grilled Chicken Bowl
42,31.3,obese,female,high,veg,maintain,obesity,2383,87,248,57,Greek Yogurt Bowl
29,18.6,normal,male,low,high_protein,muscle_gain,hypertension,2747,90,191,50,Grilled Chicken Bowl
30,34.2,obese,male,high,veg,muscle_gain,normal,2536,100,259,80,Tofu Stir Fry #2
53,22.1,normal,female,low,vegan,weight_loss,hypertension,1550,81,213,51,Tofu Stir Fry #6
32,26.0,overweight,male,medium,normal,weight_loss,normal,1834,74,198,82,Grilled Chicken Bowl
51,35.3,obese,female,medium,normal,muscle_gain,obesity,2406,119,251,41,Grilled Chicken Bowl
35,31.9,obese,female,medium,veg,maintain,hypertension,2125,81,206,78,Greek Yogurt Bowl
45,23.1,normal,female,high,vegan,weight_loss,obesity,1610,57,274,43,Tofu Stir Fry
57,18.2,underweight,male,medium,high_protein,maintain,obesity,2071,56,294,49,Grilled Chicken Bowl
54,17.2,underweight,female,medium,veg,muscle_gain,normal,2360,138,240,75,Tofu Stir Fry #2
59,30.3,obese,male,low,high_protein,maintain,obesity,2388,74,186,43,Grilled Chicken Bowl
26,35.6,obese,male,low,normal,maintain,diabetes,2090,89,129,85,Grilled Chicken Bowl
20,21.7,normal,male,high,normal,muscle_gain,obesity,2875,107,264,50,Grilled Chicken Bowl
51,22.9,normal,male,high,high_protein,maintain,obesity,1929,78,279,48,Grilled Chicken Bowl
46,28.0,overweight,male,medium,vegan,muscle_gain,diabetes,2687,104,132,85,Tofu Stir Fry #2
57,27.5,overweight,male,high,veg,weight_loss,obesity,1692,63,274,44,Tofu Stir Fry
44,27.1,overweight,male,medium,high_protein,muscle_gain,diabetes,2417,107,153,84,Grilled Chicken Bowl
22,17.9,underweight,male,low,vegan,maintain,diabetes,2309,90,162,80,Tofu Stir Fry
45,19.8,normal,male,medium,vegan,maintain,hypertension,2060,76,224,79,Almond Granola - Deluxe
60,18.9,normal,female,high,vegan,weight_loss,hypertension,1898,85,249,73,Tofu Stir Fry #6
50,25.8,overweight,male,high,veg,weight_loss,normal,1803,77,263,71,Tofu Stir Fry
26,19.2,normal,male,low,high_protein,maintain,diabetes,2302,72,149,78,Grilled Chicken Bowl
54,22.9,normal,female,medium,normal,maintain,normal,2377,80,198,58,Grilled Chicken Bowl
26,33.1,obese,male,medium,vegan,muscle_gain,normal,2418,120,292,58,Tofu Stir Fry #2
32,22.3,normal,male,low,normal,maintain,diabetes,2136,80,162,78,Grilled Chicken Bowl
42,26.6,overweight,male,low,veg,muscle_gain,obesity,2478,133,292,43,Tofu Stir Fry #7
42,21.4,normal,female,low,high_protein,muscle_gain,diabetes,2522,124,151,73,Grilled Chicken Bowl
50,35.2,obese,female,medium,high_protein,weight_loss,hypertension,1543,95,251,74,Grilled Chicken Bowl
57,22.5,normal,male,medium,normal,maintain,diabetes,2096,78,143,75,Grilled Chicken Bowl
51,32.9,obese,female,low,vegan,muscle_gain,diabetes,2635,108,174,53,Tofu Stir Fry #2
20,26.1,overweight,male,high,veg,weight_loss,obesity,1545,100,278,62,Tofu Stir Fry
22,28.2,overweight,male,high,vegan,weight_loss,obesity,1695,79,285,65,Tofu Stir Fry
35,29.6,overweight,male,medium,high_protein,muscle_gain,diabetes,2443,75,159,50,Grilled Chicken Bowl
56,27.4,overweight,male,high,high_protein,maintain,hypertension,2348,56,243,54,Grilled Chicken Bowl
53,33.5,obese,male,high,normal,muscle_gain,hypertension,2812,133,292,77,Grilled Chicken Bowl
47,35.0,obese,female,low,normal,muscle_gain,obesity,2829,117,242,54,Grilled Chicken Bowl
19,22.6,normal,male,high,veg,muscle_gain,obesity,2548,138,278,47,Tofu Stir Fry #6
51,17.6,underweight,male,medium,normal,maintain,diabetes,1900,81,130,72,Grilled Chicken Bowl
22,26.6,overweight,male,high,normal,maintain,normal,2022,59,299,72,Grilled Chicken Bowl
58,24.7,normal,male,high,vegan,muscle_gain,hypertension,2608,125,269,52,Tofu Stir Fry #6
55,18.3,underweight,male,high,vegan,maintain,diabetes,2117,57,163,70,Tofu Stir Fry
38,23.3,normal,female,high,veg,weight_loss,normal,1619,80,267,50,Tofu Stir Fry
48,26.2,overweight,male,medium,vegan,weight_loss,obesity,1797,98,314,45,Tofu Stir Fry
38,28.5,overweight,male,high,vegan,muscle_gain,obesity,2684,97,317,46,Tofu Stir Fry #6
20,20.9,normal,male,medium,normal,weight_loss,diabetes,1722,63,140,66,Grilled Chicken Bowl
44,29.5,overweight,male,high,normal,maintain,normal,2208,88,299,57,Grilled Chicken Bowl
29,22.7,normal,female,medium,high_protein,weight_loss,diabetes,1618,87,177,62,Grilled Chicken Bowl
27,26.0,overweight,male,low,normal,muscle_gain,diabetes,2543,137,125,78,Grilled Chicken Bowl
24,28.0,overweight,female,medium,vegan,weight_loss,normal,1785,77,247,75,Tofu Stir Fry
28,34.8,obese,female,low,veg,maintain,normal,1945,68,243,71,Greek Yogurt Bowl
43,35.2,obese,female,medium,normal,weight_loss,hypertension,1680,95,209,52,Grilled Chicken Bowl
40,31.9,obese,female,medium,high_protein,weight_loss,hypertension,1852,76,283,76,Grilled Chicken Bowl
32,26.6,overweight,male,low,normal,muscle_gain,normal,2703,116,198,58,Grilled Chicken Bowl
55,35.3,obese,female,high,high_protein,maintain,normal,2205,89,259,66,Grilled Chicken Bowl
50,34.5,obese,male,low,veg,maintain,hypertension,1944,82,274,65,Greek Yogurt Bowl
37,32.0,obese,male,medium,veg,weight_loss,hypertension,1758,93,180,81,Tofu Stir Fry #6
52,20.4,normal,male,medium,vegan,maintain,diabetes,2176,77,151,82,Tofu Stir Fry
40,33.9,obese,male,low,normal,muscle_gain,normal,2612,70,273,69,Grilled Chicken Bowl
47,27.7,overweight,female,high,vegan,muscle_gain,obesity,2440,101,272,54,Tofu Stir Fry #6
59,27.5,overweight,male,high,high_protein,muscle_gain,diabetes,2527,82,135,52,Grilled Chicken Bowl
54,23.9,normal,male,medium,high_protein,weight_loss,diabetes,1512,77,170,56,Grilled Chicken Bowl
28,26.2,overweight,male,high,vegan,weight_loss,normal,1672,73,317,58,Tofu Stir Fry
51,28.9,overweight,female,medium,vegan,muscle_gain,normal,2339,109,279,82,Tofu Stir Fry #2
35,33.3,obese,male,medium,normal,muscle_gain,diabetes,2830,130,142,59,Grilled Chicken Bowl
36,31.3,obese,female,low,normal,maintain,obesity,2052,100,303,52,Grilled Chicken Bowl
18,34.4,obese,female,high,vegan,maintain,normal,2174,84,185,57,Tofu Stir Fry
25,28.7,overweight,male,medium,normal,maintain,normal,2043,63,285,63,Grilled Chicken Bowl
43,20.0,normal,male,medium,vegan,muscle_gain,obesity,2556,96,275,41,Tofu Stir Fry #6
22,30.7,obese,female,medium,high_protein,weight_loss,normal,1866,96,192,58,Grilled Chicken Bowl
21,23.6,normal,female,high,vegan,weight_loss,hypertension,1749,83,256,61,Tofu Stir Fry #6
36,20.3,normal,female,high,high_protein,weight_loss,hypertension,1573,94,229,62,Grilled Chicken Bowl
50,29.3,overweight,female,low,vegan,weight_loss,normal,1785,92,233,76,Tofu Stir Fry
59,27.5,overweight,male,low,veg,maintain,obesity,2343,78,306,64,Greek Yogurt Bowl
45,32.4,obese,female,low,veg,maintain,hypertension,2076,63,200,54,Peanut Butter Toast
39,21.1,normal,male,high,vegan,weight_loss,normal,1790,76,305,70,Tofu Stir Fry
45,27.3,overweight,female,high,vegan,muscle_gain,obesity,2600,91,264,47,Tofu Stir Fry #6
45,17.6,underweight,male,medium,veg,muscle_gain,diabetes,2412,74,150,85,Tofu Stir Fry #2
39,29.0,overweight,female,high,veg,maintain,hypertension,2010,65,208,50,Greek Yogurt Bowl
55,34.9,obese,male,medium,veg,maintain,diabetes,2219,92,138,85,Greek Yogurt Bowl
43,20.3,normal,male,medium,high_protein,weight_loss,hypertension,1661,87,301,52,Grilled Chicken Bowl
42,22.0,normal,male,low,veg,weight_loss,normal,1650,68,309,70,Tofu Stir Fry
52,27.8,overweight,male,high,vegan,maintain,obesity,2242,56,253,42,Tofu Stir Fry
28,30.9,obese,male,high,high_protein,maintain,diabetes,2118,88,137,69,Grilled Chicken Bowl
42,19.3,normal,female,low,high_protein,muscle_gain,hypertension,2731,105,221,70,Grilled Chicken Bowl
58,34.3,obese,male,medium,high_protein,maintain,obesity,2004,92,233,52,Grilled Chicken Bowl
59,18.9,normal,male,low,high_protein,maintain,hypertension,2281,67,219,79,Grilled Chicken Bowl
55,17.1,underweight,female,high,vegan,muscle_gain,obesity,2445,129,291,58,Tofu Stir Fry #6
38,28.5,overweight,female,medium,veg,muscle_gain,hypertension,2324,135,200,59,Tofu Stir Fry #6
39,35.8,obese,female,medium,veg,maintain,hypertension,1905,90,215,66,Greek Yogurt Bowl
50,29.1,overweight,female,high,normal,weight_loss,normal,1729,65,258,83,Grilled Chicken Bowl
54,20.4,normal,male,medium,vegan,muscle_gain,diabetes,2695,113,152,79,Tofu Stir Fry #2
60,29.6,overweight,male,high,veg,muscle_gain,obesity,2607,136,238,46,Tofu Stir Fry #6
57,24.3,normal,male,high,high_protein,weight_loss,normal,1672,74,256,54,Grilled Chicken Bowl
46,28.9,overweight,female,high,vegan,weight_loss,hypertension,1681,60,235,67,Tofu Stir Fry #6
40,28.5,overweight,female,high,high_protein,weight_loss,normal,1555,92,305,61,Grilled Chicken Bowl
23,18.7,normal,female,low,high_protein,weight_loss,normal,1865,87,181,84,Grilled Chicken Bowl
36,28.1,overweight,male,low,high_protein,weight_loss,hypertension,1749,83,239,84,Grilled Chicken Bowl
22,29.1,overweight,male,medium,normal,weight_loss,diabetes,1865,85,158,72,Grilled Chicken Bowl
58,27.9,overweight,male,low,veg,maintain,hypertension,2227,83,245,67,Greek Yogurt Bowl
60,32.1,obese,male,medium,high_protein,maintain,obesity,2360,63,257,62,Grilled Chicken Bowl
35,36.0,obese,male,low,vegan,muscle_gain,hypertension,2818,124,198,50,Tofu Stir Fry #6
54,27.7,overweight,male,high,vegan,maintain,hypertension,2173,99,209,57,Almond Granola - Deluxe
22,22.4,normal,female,medium,veg,maintain,hypertension,2248,65,186,78,Greek Yogurt Bowl
44,19.1,normal,male,medium,high_protein,maintain,hypertension,1949,99,291,61,Grilled Chicken Bowl
36,31.6,obese,male,medium,vegan,weight_loss,diabetes,1859,58,139,56,Tofu Stir Fry
49,24.6,normal,female,low,vegan,weight_loss,obesity,1790,72,194,65,Tofu Stir Fry
29,32.2,obese,female,medium,veg,maintain,hypertension,2047,71,227,66,Greek Yogurt Bowl
19,21.6,normal,female,high,high_protein,maintain,obesity,2281,67,300,61,Grilled Chicken Bowl
24,29.7,overweight,female,low,veg,muscle_gain,diabetes,2645,86,145,68,Tofu Stir Fry #2
19,22.2,normal,female,medium,vegan,muscle_gain,diabetes,2797,83,122,69,Tofu Stir Fry #2
58,28.5,overweight,male,low,veg,weight_loss,diabetes,1813,88,130,68,Tofu Stir Fry #4
33,17.2,underweight,male,high,vegan,muscle_gain,normal,2821,73,277,65,Tofu Stir Fry #2
44,19.3,normal,female,low,high_protein,weight_loss,hypertension,1538,99,212,74,Grilled Chicken Bowl
48,28.7,overweight,female,high,high_protein,muscle_gain,hypertension,2426,80,230,81,Grilled Chicken Bowl
23,22.1,normal,female,high,normal,weight_loss,diabetes,1847,100,132,55,Grilled Chicken Bowl
31,20.8,normal,male,medium,high_protein,muscle_gain,normal,2639,106,185,75,Chicken Burger
39,18.3,underweight,male,high,veg,maintain,diabetes,2310,89,171,71,Greek Yogurt Bowl
30,22.3,normal,female,low,vegan,weight_loss,normal,1887,59,254,53,Tofu Stir Fry
56,28.5,overweight,male,low,normal,weight_loss,obesity,1562,73,250,50,Grilled Chicken Bowl
30,20.1,normal,female,medium,veg,maintain,hypertension,2165,59,289,62,Greek Yogurt Bowl
32,25.5,overweight,female,low,veg,weight_loss,obesity,1541,99,206,56,Tofu Stir Fry
55,33.0,obese,male,low,normal,weight_loss,normal,1513,56,181,53,Grilled Chicken Bowl
59,23.9,normal,male,low,vegan,weight_loss,obesity,1755,96,243,44,Tofu Stir Fry
34,18.2,underweight,male,high,normal,muscle_gain,normal,2854,102,192,79,Grilled Chicken Bowl
27,17.3,underweight,female,medium,veg,muscle_gain,normal,2516,71,238,83,Tofu Stir Fry #2
27,19.7,normal,female,low,veg,maintain,diabetes,2067,95,173,70,Greek Yogurt Bowl
50,24.5,normal,male,medium,high_protein,weight_loss,obesity,1575,87,302,63,Grilled Chicken Bowl
59,25.3,overweight,male,high,normal,maintain,normal,2274,79,317,71,Grilled Chicken Bowl
55,29.8,overweight,female,medium,high_protein,maintain,obesity,2397,97,261,43,Grilled Chicken Bowl
42,31.7,obese,female,medium,vegan,maintain,obesity,2115,85,186,51,Tofu Stir Fry
52,33.1,obese,female,medium,veg,weight_loss,obesity,1767,78,197,59,Tofu Stir Fry
48,26.7,overweight,male,high,normal,maintain,hypertension,2205,57,213,66,Grilled Chicken Bowl
28,31.7,obese,female,low,high_protein,weight_loss,diabetes,1516,58,163,67,Grilled Chicken Bowl
22,35.4,obese,female,low,high_protein,maintain,diabetes,2064,74,173,74,Grilled Chicken Bowl
55,19.1,normal,male,high,vegan,weight_loss,obesity,1890,73,183,46,Tofu Stir Fry
41,21.5,normal,female,low,veg,muscle_gain,diabetes,2898,138,120,66,Tofu Stir Fry #2
52,27.0,overweight,female,high,normal,maintain,hypertension,2229,60,317,64,Grilled Chicken Bowl
40,18.3,underweight,female,low,normal,maintain,diabetes,2346,85,142,85,Grilled Chicken Bowl
51,20.8,normal,male,medium,veg,muscle_gain,hypertension,2501,140,307,67,Tofu Stir Fry #6
57,32.4,obese,male,low,normal,muscle_gain,diabetes,2869,113,151,56,Grilled Chicken Bowl
31,24.2,normal,female,high,normal,maintain,hypertension,1955,95,261,70,Grilled Chicken Bowl
27,24.1,normal,female,medium,high_protein,maintain,diabetes,1979,91,138,59,Grilled Chicken Bowl
34,35.9,obese,male,high,veg,weight_loss,obesity,1602,55,317,56,Tofu Stir Fry
19,17.1,underweight,female,medium,normal,maintain,hypertension,2053,72,193,80,Grilled Chicken Bowl
32,31.9,obese,female,high,high_protein,muscle_gain,hypertension,2503,123,283,77,Grilled Chicken Bowl
28,30.4,obese,male,low,normal,muscle_gain,hypertension,2797,70,207,84,Grilled Chicken Bowl
